POPULAÃ‡ÃƒO;PARCELA;ÃRVORE;FUSTE;CAP;ALTURA;OBS
1;55;1;;88,5;40,5;normal
1;55;2;;69,5;39,5;normal
1;55;3;;;;morta
1;55;4;;;;morta
1;55;5;;54,5;;ponteira_seca
1;55;6;;36,3;;ponteira_seca
1;55;7;;86,2;;normal
1;55;8;;82,5;40;normal
1;55;9;;;;morta
1;55;10;;89,1;;normal
1;55;11;;;;morta
1;55;12;;20,8;;ponteira_seca
1;55;13;;65,6;;normal
1;55;14;;35,3;;normal
1;55;15;;33;38;ponteira_seca
1;55;16;;;;morta
1;55;17;;83,7;26;normal
1;55;18;;30;;ponteira_seca
1;55;19;;58;;normal
1;55;20;;55,5;32;normal
1;55;21;;38,3;;normal
1;55;22;;78,6;40;normal
1;55;23;;52,5;;normal
1;55;24;;72,5;36;normal
1;55;25;;22,5;;ponteira_seca
1;55;26;;;;morta
1;55;27;;72,8;33,5;normal
1;55;28;;24;;ponteira_seca
1;55;29;;57,5;;normal
1;55;30;;49,9;;bifurcada_acima
1;55;31;;22,2;;ponteira_seca
1;55;32;;19,1;;ponteira_seca
1;55;33;;59;31;normal
1;55;34;;;;morta
1;55;35;;57,9;30;normal
1;55;36;;64,3;34;normal
1;55;37;;36,2;;ponteira_seca
1;55;38;;30;;ponteira_seca
1;55;39;;71,2;33;normal
1;55;40;;24,2;;ponteira_seca
1;55;41;;;;morta
1;45;1;;94;37;normal
1;45;2;;;;morta
1;45;3;;59;;ponteira_seca
1;45;4;;;;morta
1;45;5;;;;morta
1;45;6;;;;morta
1;45;7;;;;morta
1;45;8;;;;morta
1;45;9;;75,1;;normal
1;45;10;;98,4;37,8;normal
1;45;11;;59,6;;normal
1;45;12;;37,2;;normal
1;45;13;;49,4;;normal
1;45;14;;31,8;;normal
1;45;15;;95,6;34,3;normal
1;45;16;;;;morta
1;45;17;;97;;normal
1;45;18;;81,5;29;normal
1;45;19;;47,6;21;normal
1;45;20;;87,6;33,5;normal
1;45;21;;52,2;;normal
1;45;22;;;;morta
1;45;23;;80;;normal
1;45;24;;74,5;;normal
1;45;25;;56,3;24,5;normal
1;45;26;;59;28,5;normal
1;45;27;;41,4;;normal
1;45;28;;33,4;;normal
1;45;29;;79,8;29,1;normal
1;45;30;;39,7;17,2;normal
1;45;31;;;;morta
1;45;32;;84;;normal
1;45;33;;71,2;;normal
1;45;34;;90,6;35,8;normal
1;52;1;;43,6;19,4;normal
1;52;2;;;;morta
1;52;3;;65,7;;normal
1;52;4;;107,3;42,1;normal
1;52;5;;57;;normal
1;52;6;;78;31,6;normal
1;52;7;;;;morta
1;52;8;;55,3;;normal
1;52;9;;54;;normal
1;52;10;;;;morta_quebrada
1;52;11;;67;;torta
1;52;12;;68,5;35,1;normal
1;52;13;;53;;normal
1;52;14;;79;36;normal
1;52;15;;54,7;;normal
1;52;16;;;;morta_quebrada
1;52;17;;51,2;;normal
1;52;18;;;;morta_quebrada
1;52;19;;55,6;;normal
1;52;20;;;;morta_quebrada
1;52;21;;53,4;35,4;normal
1;52;22;;51,9;;normal
1;52;23;;106;44,6;normal
1;52;24;;33,9;;normal
1;52;25;;48,6;;normal
1;52;26;;44,5;27,1;normal
1;52;27;;94,5;42,1;normal
1;52;28;;41;;normal
1;52;29;;84,8;39,6;normal
1;52;30;;69,2;;normal
1;52;31;;88;;normal
1;52;32;;64,6;;normal
1;52;33;;42;;normal
1;52;34;;80,5;;normal
1;52;35;;57,7;36,6;normal
1;52;36;;44;;normal
1;66;1;;63;40,3;normal
1;66;2;;35,1;;normal
1;66;3;;79,2;40,5;normal
1;66;4;;56,8;34,7;normal
1;66;5;;45,5;;normal
1;66;6;;34,7;;normal
1;66;7;;43;;normal
1;66;8;;51,7;;normal
1;66;9;;37,5;;normal
1;66;10;;35;;normal
1;66;11;;60;31,6;normal
1;66;12;;55;;normal
1;66;13;;84;33,1;normal
1;66;14;;78,5;39,1;normal
1;66;15;;77;37,5;normal
1;66;16;;40;;normal
1;66;17;;31,5;;normal
1;66;18;;99,8;40,8;normal
1;66;19;;53,6;;normal
1;66;20;;69;;normal
1;66;21;;;;morta
1;66;22;;81,6;34,2;normal
1;66;23;;36;;normal
1;66;24;;20;;normal
1;66;25;;66,6;;normal
1;66;26;;66,7;;normal
1;66;27;;71;35,1;normal
1;66;28;;49,5;;normal
1;66;29;;32;;normal
1;66;30;;76,2;36,6;normal
1;66;31;;68,3;27,9;normal
1;66;32;;65,5;29,5;normal
1;66;33;;69,5;;normal
1;66;34;;61,2;;normal
1;66;35;;39;;normal
1;66;36;;69,8;;normal
1;66;37;;30,5;;normal
1;66;38;;66;;normal
1;66;39;;39;;normal
1;66;40;;47,1;;normal
1;66;41;;75,4;;normal
1;64;1;;56;25;normal
1;64;2;;80,5;36,6;normal
1;64;3;;77;39;normal
1;64;4;;30;;normal
1;64;5;;23;;normal
1;64;6;;64;28;normal
1;64;7;;78;;normal
1;64;8;;81;37;normal
1;64;9;;34,3;;normal
1;64;10;;23,2;;normal
1;64;11;;53,1;27,6;normal
1;64;12;;31,3;;normal
1;64;13;;22,3;;normal
1;64;14;;73,4;36;normal
1;64;15;;27,1;;normal
1;64;16;;75;;normal
1;64;17;;27,7;;normal
1;64;18;;78,2;28,5;normal
1;64;19;;84,5;37;normal
1;64;20;;78,6;40;normal
1;64;21;;15;;normal
1;64;22;;;;morta
1;64;23;;31,3;;normal
1;64;24;;70,5;;normal
1;64;25;;63,5;31;normal
1;64;26;;55,2;;normal
1;64;27;;64,1;30,5;normal
1;64;28;;21,2;;normal
1;64;29;;33,5;;normal
1;64;30;;47;;normal
1;64;31;;50,4;;normal
1;64;32;;24,8;;normal
1;64;33;;25;;normal
1;64;34;;32,3;;normal
1;64;35;;76,5;;normal
1;64;36;;29,5;;normal
1;64;37;;30,3;;normal
1;64;38;;64,5;;normal
1;64;39;;50,8;;normal
1;64;40;;59;33;normal
1;64;41;;75,3;;normal
1;64;42;;72,3;;normal
1;20;1;;79,5;38,8;normal
1;20;2;;;;morta
1;20;3;;73,8;35,8;normal
1;20;4;;73,9;37,2;normal
1;20;5;;92,5;40,7;normal
1;20;6;;;;morta
1;20;7;1;88,1;39,1;bifurcada
1;20;7;2;60;;bifurcada
1;20;8;;49;;normal
1;20;9;;52,9;30,8;normal
1;20;10;;74,1;36,1;normal
1;20;11;;77;;normal
1;20;12;;43,6;;normal
1;20;13;;;;morta
1;20;14;;;;morta
1;20;15;;46,9;24,1;normal
1;20;16;;;;morta
1;20;17;;;;morta
1;20;18;;64,4;33,1;normal
1;20;19;;56,5;;normal
1;20;20;;74,9;36,5;normal
1;20;21;;60,2;;normal
1;20;22;;49,9;;normal
1;20;23;;73,2;36,4;normal
1;20;24;;79;;normal
1;20;25;;;;morta
1;20;26;;43,8;;normal
